index,file,frame,px,long_px,score,share_of_frame,oracle_surface,corners,verdict
0,003939,0,61,85,0.749,0.0025,none,"739,552 678,552 678,467 739,467",has text
1,003939,0,87,96,0.741,0.00789,screen,"990,910 938,840 1014,782 1067,852",none
2,003939,0,153,201,0.63,0.0276,none,"860,955 684,858 758,725 933,821",none
3,003939,135,106,124,0.77,0.00637,none,"622,712 516,712 516,588 622,588",has text
4,003939,135,127,129,0.647,0.01556,none,"574,745 475,665 556,565 655,644",has text
5,003939,271,94,124,0.73,0.00585,none,"510,544 507,421 601,418 604,542",has text
6,003939,406,105,117,0.696,0.00818,none,"1307,709 1287,606 1402,583 1422,686",has text
7,003939,542,79,92,0.76,0.0035,none,"1380,595 1288,595 1288,515 1380,515",none
8,003939,677,78,117,0.758,0.00489,none,"717,649 711,532 789,528 796,645",has text
9,003939,677,156,214,0.706,0.02015,none,"396,813 184,787 203,632 416,659",none
10,003939,813,139,146,0.637,0.01195,none,"902,634 886,488 1025,473 1041,618",has text
11,003939,948,64,79,0.741,0.00243,none,"1321,638 1241,638 1241,574 1321,574",none
12,003939,1084,22,61,0.781,0.00135,none,"227,1245 171,1222 179,1201 236,1224",text
13,003939,1084,20,20,0.628,0.0002,none,"768,813 747,813 747,793 768,793",none
14,003939,1219,79,89,0.737,0.00338,none,"1455,319 1366,319 1366,240 1455,240",none
15,003939,1219,76,90,0.679,0.00439,none,"665,1057 653,982 742,967 754,1042",none
16,003939,1355,81,93,0.704,0.00619,screen,"217,821 186,747 272,711 303,786",none
17,003939,1355,102,106,0.657,0.0052,none,"805,1037 699,1037 699,934 805,934",none
18,003939,1355,144,149,0.645,0.01956,none,"719,1100 640,973 763,897 841,1024",none
19,003939,1626,115,123,0.773,0.00681,none,"815,1077 692,1077 692,962 815,962",none
20,003939,1626,100,121,0.761,0.00688,none,"1194,606 1095,597 1105,476 1205,485",none
21,003939,1626,142,188,0.758,0.01881,none,"793,1156 655,1123 698,940 836,973",none
22,003939,1761,36,51,0.859,0.00087,none,"678,138 643,138 643,88 678,88",none
23,003939,1897,98,122,0.846,0.00575,none,"960,924 862,924 862,802 960,802",none
24,003939,1897,34,174,0.829,0.00372,none,"626,243 624,209 797,199 799,233",text
25,003939,1897,51,72,0.803,0.00177,none,"568,244 496,244 496,193 568,193",none
26,003939,1897,88,105,0.692,0.00579,none,"738,894 634,878 647,791 751,806",none
27,003939,1897,111,139,0.664,0.01482,none,"727,935 615,851 682,762 794,846",none
28,003939,1897,137,207,0.656,0.01752,none,"775,949 757,813 962,786 981,921",none
29,003939,2032,83,114,0.806,0.00454,none,"663,345 581,345 581,231 663,231",none
