video,frame,polygon,kind,palm_px,score,presence,corners,verdict,note
003939,41,0,live,76,0.938,0.981,"795,757 1088,718 1127,1011 834,1050",,
003939,41,1,live,69,0.891,0.957,"759,774 1008,876 905,1125 656,1022",,
003939,124,0,live,80,0.915,0.952,"581,823 889,881 831,1189 523,1131",,
003939,206,0,live,84,0.904,0.871,"488,814 806,733 887,1051 569,1132",,
003939,289,0,live,94,0.928,0.901,"471,765 829,700 894,1059 535,1124",,
003939,372,0,live,89,0.915,0.922,"480,746 826,765 807,1111 461,1092",,
003939,454,0,live,76,0.91,0.933,"517,870 810,828 852,1121 558,1163",,
003939,537,0,live,88,0.958,0.907,"464,843 795,752 886,1083 555,1174",,
003939,537,1,live,59,0.575,0.926,"504,1019 631,827 823,954 696,1146",,
003939,620,0,live,78,0.872,0.927,"554,791 859,769 881,1073 577,1095",,
003939,702,0,live,75,0.853,0.975,"586,785 876,834 828,1124 537,1075",,
003939,785,0,live,86,0.929,0.96,"627,769 936,895 810,1205 500,1078",,
003939,868,0,live,85,0.938,0.964,"709,762 982,947 797,1220 524,1035",,
003939,950,0,live,63,0.944,0.927,"836,878 1051,758 1171,974 956,1094",,
003939,950,1,live,62,0.918,0.978,"259,762 498,791 468,1030 229,1001",,
003939,950,2,live,76,0.816,0.977,"648,814 927,912 830,1191 551,1093",,
003939,950,3,live,56,0.505,0.962,"287,752 486,839 400,1039 200,952",,
003939,1033,0,live,92,0.91,0.974,"495,667 850,711 806,1066 452,1022",,
003939,1116,0,live,56,0.922,0.886,"231,890 419,779 530,967 342,1078",,
003939,1116,1,live,82,0.856,0.972,"636,767 909,933 743,1205 470,1040",,
003939,1198,0,live,71,0.921,0.985,"659,993 833,778 1048,952 874,1166",,
003939,1198,1,live,79,0.912,0.996,"656,856 950,955 851,1248 558,1150",,
003939,1281,0,live,109,0.974,0.997,"591,855 991,1002 844,1300 444,1255",,
003939,1281,1,live,37,0.877,0.963,"322,883 453,944 393,1074 262,1014",,
003939,1281,2,live,38,0.828,0.941,"361,868 500,917 451,1056 312,1007",,
003939,1281,3,live,44,0.406,0.983,"332,871 474,968 377,1109 236,1012",,
003939,1364,0,live,89,0.968,0.993,"633,758 971,843 886,1182 548,1096",,
003939,1364,1,live,36,0.696,0.915,"209,1052 348,1076 324,1215 185,1191",,
003939,1446,0,live,71,0.954,0.986,"707,957 924,787 1094,1004 877,1174",,
003939,1446,1,live,97,0.938,0.994,"410,884 788,859 814,1237 436,1263",,
003939,1529,0,live,92,0.961,0.995,"479,964 837,1005 796,1300 438,1300",,
003939,1612,0,live,101,0.972,0.995,"596,919 974,1021 872,1300 493,1297",,
003939,1694,0,live,92,0.978,0.993,"693,838 1024,975 887,1300 556,1169",,
003939,1694,1,live,71,0.523,0.934,"752,865 1000,986 879,1234 631,1113",,
003939,1777,0,live,82,0.921,0.987,"600,889 918,925 882,1243 563,1207",,
003939,1860,0,live,92,0.961,0.737,"693,808 1048,768 1088,1123 733,1162",,
003939,1860,1,live,79,0.916,0.974,"644,834 950,866 918,1172 612,1140",,
003939,1942,0,live,72,0.97,0.987,"834,747 1116,753 1110,1035 828,1029",,
003939,2025,0,live,98,0.988,0.995,"510,778 893,794 877,1177 494,1161",,
003939,2025,1,live,68,0.792,0.989,"648,794 889,902 782,1143 540,1036",,
